X, Y ,Z
-57.7905,18.21788, 23.07796
-57.78679,18.89297, 27.40789
-56.59792,15.66735, 26.71691
-57.80044,18.24466, 23.09914
-57.79618,18.91998, 27.43867
-56.60559,15.68996, 26.75147
-57.81218,18.27631, 23.12416
-57.80602,18.94827, 27.47089
-56.61361,15.71365, 26.78766
-57.82447,18.30944, 23.15036
-57.81581,18.97644, 27.50298
-56.6216,15.73723, 26.8237
-57.83671,18.34244, 23.17644
-57.82323,18.9978, 27.52731
-56.62766,15.75512, 26.85104
-57.84599,18.36746, 23.19622
-57.83163,19.02195, 27.55481
-56.63451,15.77533, 26.88193
-57.85648,18.39574, 23.21858
-57.8406,19.04775, 27.58421
-56.64183,15.79693, 26.91494
-57.8677,18.42596, 23.24248
-57.8504,19.07596, 27.61633
-56.64983,15.82055, 26.95103
-57.87996,18.459, 23.2686
-57.86033,19.10452, 27.64887
-54.88836,19.63015, 27.07745
-56.65794,15.84447, 26.98758
-57.89236,18.49246, 23.29505
-57.86788,19.12623, 27.6736
-54.89015,19.65354, 27.10173
-56.66409,15.86264, 27.01535
-57.9018,18.51789, 23.31515
-57.87806,19.15552, 27.70696
-54.89256,19.68509, 27.1345
-56.6724,15.88716, 27.05282
-57.91452,18.5522, 23.34227
-57.88561,19.17723, 27.73169
-54.89434,19.70847, 27.15878
-56.67856,15.90534, 27.0806
-57.92396,18.57763, 23.36238
-57.89603,19.2072, 27.76583
-54.89681,19.74076, 27.19231
-56.68706,15.93043, 27.11894
-57.93698,18.61273, 23.39013
-57.903,19.22725, 27.78867
-54.89846,19.76236, 27.21474
-57.94569,18.63622, 23.4087
-57.91299,19.25601, 27.82143
-54.90083,19.79333, 27.24691
-57.95819,18.66991, 23.43533
-57.923,19.28478, 27.85419
-54.90319,19.82432, 27.27908
-57.97069,18.7036, 23.46197
-57.93061,19.30669, 27.87915
-54.90499,19.84792, 27.30359
-57.98021,18.72926, 23.48226
-57.94072,19.33576, 27.91227
-54.90739,19.87923, 27.33611
-57.99284,18.76332, 23.50918
-57.94836,19.35775, 27.93731
-54.9092,19.90292, 27.36071
-58.0024,18.78907, 23.52954
-57.95816,19.38593, 27.96941
-54.91151,19.93327, 27.39223
-58.01464,18.82208, 23.55563
-57.96578,19.40784, 27.99438
-54.91332,19.95688, 27.41674
-57.97592,19.43701, 28.0276
-54.91572,19.9883, 27.44937
-57.98338,19.45847, 28.05204
-54.91748,20.01141, 27.47337
-57.99343,19.48739, 28.08499
-54.91986,20.04257, 27.50573
-58.00336,19.51595, 28.11752
-54.92221,20.07333, 27.53767
-58.01108,19.53815, 28.14281
-54.92404,20.09725, 27.56252
-58.02079,19.5661, 28.17465
-54.92634,20.12736, 27.59378
-58.02832,19.58776, 28.19932
-54.92812,20.15069, 27.618
-58.03828,19.61639, 28.23193
-54.93048,20.18152, 27.65003
-58.04838,19.64545, 28.26503
-54.93287,20.21283, 27.68253
-58.0558,19.66679, 28.28934
-54.93462,20.23581, 27.7064
-58.06604,19.69625, 28.3229
-54.93705,20.26755, 27.73936
-58.0735,19.71772, 28.34734
-54.93882,20.29067, 27.76337
-58.0834,19.74619, 28.37978
-54.94116,20.32134, 27.79523
-58.09085,19.76762, 28.40419
-54.94292,20.34442, 27.81919
-58.10093,19.79661, 28.43721
-54.9453,20.37565, 27.85162
-58.11081,19.82504, 28.4696
-54.94765,20.40628, 27.88343
-58.11824,19.84641, 28.49394
-54.9494,20.42929, 27.90733
-58.1281,19.87476, 28.52623
-54.95174,20.45984, 27.93904
-58.13578,19.89685, 28.5514
-54.95355,20.48363, 27.96375
-58.14584,19.92582, 28.58439
-54.95594,20.51483, 27.99615
-58.15358,19.94808, 28.60974
-54.95777,20.53881, 28.02105
-58.16455,19.97961, 28.64567
-54.96037,20.57278, 28.05632
-58.17126,19.99892, 28.66766
-54.96195,20.59358, 28.07793
-58.18122,20.02758, 28.7003
-54.96431,20.62444, 28.10998
-58.18948,20.05135, 28.72738
-54.96627,20.65005, 28.13657
-54.96847,20.67887, 28.1665
-54.97097,20.71164, 28.20053
-54.97264,20.7335, 28.22323
-54.97499,20.76435, 28.25526
-54.97733,20.79482, 28.28691
-54.97923,20.81975, 28.3128
-54.98139,20.84805, 28.34219
-54.98316,20.87122, 28.36625
-54.98551,20.90196, 28.39817
-54.98738,20.92642, 28.42357
-54.98972,20.95706, 28.45539
-54.99204,20.98748, 28.48697
-54.99382,21.01076, 28.51115
-54.99621,21.04204, 28.54364
-54.99796,21.06492, 28.5674
-55.00053,21.09859, 28.60236
-55.00276,21.12784, 28.63274
-55.0044,21.14932, 28.65504
